customer_id,customer_name,email,first_completed_visit_date,first_visit_source,preferred_staff_name,contact_permission
C0083,Emily Wilson,customer0083@example.com,13/8/2025,Imported customer master,Sam,yes
C0084,Sophie Wilson,customer0084@example.com,13/5/2024,Imported customer master,Matthew,yes
C0085,Ella Wilson,customer0085@example.com,5/1/2026,Imported customer master,Sarah,yes
C0086,Ruby Wilson,customer0086@example.com,7/9/2024,Imported customer master,Matthew,yes
C0087,Lucy Wilson,customer0087@example.com,30/1/2026,Imported customer master,Sarah,yes
C0088,Jessica Wilson,customer0088@example.com,27/5/2025,Imported customer master,Sam,yes
C0089,Emma Wilson,customer0089@example.com,14/8/2024,Imported customer master,Sarah,yes
C0090,Hannah Wilson,customer0090@example.com,26/5/2024,Imported customer master,Sarah,yes
C0091,Sienna Wilson,customer0091@example.com,20/7/2025,Imported customer master,Matthew,yes
C0092,Sofia Wilson,customer0092@example.com,25/12/2024,Imported customer master,Matthew,yes
C0093,Noah Wilson,customer0093@example.com,17/5/2025,Imported customer master,Sam,yes
C0094,Oliver Wilson,customer0094@example.com,27/8/2024,Imported customer master,Matthew,yes
C0095,Jack Wilson,customer0095@example.com,29/10/2024,Imported customer master,Sarah,yes
C0096,Henry Wilson,customer0096@example.com,24/6/2025,Imported customer master,Matthew,yes
C0097,Leo Wilson,customer0097@example.com,13/8/2025,Imported customer master,Sarah,yes
C0098,Liam Wilson,customer0098@example.com,9/8/2025,Imported customer master,Sam,yes
C0099,Lucas Wilson,customer0099@example.com,18/12/2024,Imported customer master,Sarah,yes
C0100,William Wilson,customer0100@example.com,21/6/2025,Imported customer master,Sam,yes
C0101,James Wilson,customer0101@example.com,4/10/2025,Imported customer master,Sarah,yes
C0102,Ethan Wilson,customer0102@example.com,3/4/2025,Imported customer master,Matthew,yes
C0103,Aria Wilson,customer0103@example.com,25/9/2025,Imported customer master,Sarah,yes
C0104,Layla Wilson,customer0104@example.com,24/9/2024,Imported customer master,Sarah,yes
C0105,Harper Wilson,customer0105@example.com,20/12/2024,Imported customer master,Matthew,yes
C0106,Alice Wilson,customer0106@example.com,3/10/2025,Imported customer master,Sarah,yes
C0107,Ivy Wilson,customer0107@example.com,13/2/2025,Imported customer master,Sam,yes
C0108,Willow Wilson,customer0108@example.com,21/5/2024,Imported customer master,Sarah,yes
C0109,Olivia Taylor,customer0109@example.com,4/12/2024,Imported customer master,Sarah,yes
C0110,Amelia Taylor,customer0110@example.com,30/8/2025,Imported customer master,Matthew,yes
C0111,Charlotte Taylor,customer0111@example.com,17/9/2025,Imported customer master,Matthew,yes
C0112,Isla Taylor,customer0112@example.com,20/12/2025,Imported customer master,Sarah,yes
C0113,Mia Taylor,customer0113@example.com,20/11/2025,Imported customer master,Sam,yes
C0114,Ava Taylor,customer0114@example.com,30/11/2025,Imported customer master,Matthew,yes
C0115,Grace Taylor,customer0115@example.com,2/4/2024,Imported customer master,Sam,yes
C0116,Chloe Taylor,customer0116@example.com,27/8/2025,Imported customer master,Matthew,yes
C0117,Zoe Taylor,customer0117@example.com,27/1/2026,Imported customer master,Matthew,yes
C0118,Lily Taylor,customer0118@example.com,12/8/2025,Imported customer master,Sam,yes
C0119,Emily Taylor,customer0119@example.com,26/6/2025,Imported customer master,Sam,yes
C0120,Sophie Taylor,customer0120@example.com,10/8/2025,Imported customer master,Sam,yes
C0121,Ella Taylor,customer0121@example.com,17/4/2024,Imported customer master,Matthew,yes
C0122,Ruby Taylor,customer0122@example.com,21/5/2025,Imported customer master,Sam,yes
C0123,Lucy Taylor,customer0123@example.com,3/6/2025,Imported customer master,Sam,yes
C0124,Jessica Taylor,customer0124@example.com,3/6/2025,Imported customer master,Sam,yes
C0125,Emma Taylor,customer0125@example.com,26/7/2024,Imported customer master,Sam,yes
C0126,Hannah Taylor,customer0126@example.com,16/6/2025,Imported customer master,Sarah,yes
C0127,Sienna Taylor,customer0127@example.com,27/6/2024,Imported customer master,Matthew,yes
C0128,Sofia Taylor,customer0128@example.com,12/11/2024,Imported customer master,Sam,yes
C0129,Noah Taylor,customer0129@example.com,23/5/2025,Imported customer master,Matthew,yes
C0130,Oliver Taylor,customer0130@example.com,25/11/2024,Imported customer master,Sarah,yes
C0131,Jack Taylor,customer0131@example.com,7/12/2025,Imported customer master,Sarah,yes
C0132,Henry Taylor,customer0132@example.com,12/5/2024,Imported customer master,Sam,yes
C0133,Leo Taylor,customer0133@example.com,22/12/2024,Imported customer master,Sarah,yes
C0134,Liam Taylor,customer0134@example.com,25/4/2024,Imported customer master,Sarah,yes
C0135,Lucas Taylor,customer0135@example.com,11/4/2024,Imported customer master,Sam,yes
C0136,William Taylor,customer0136@example.com,17/6/2024,Imported customer master,Sam,yes
C0137,James Taylor,customer0137@example.com,29/11/2025,Imported customer master,Sarah,yes
C0138,Ethan Taylor,customer0138@example.com,23/1/2026,Imported customer master,Matthew,yes
C0139,Aria Taylor,customer0139@example.com,28/7/2025,Imported customer master,Sam,yes
C0140,Layla Taylor,customer0140@example.com,11/12/2025,Imported customer master,Sarah,yes
C0141,Harper Taylor,customer0141@example.com,29/5/2025,Imported customer master,Matthew,yes
C0142,Alice Taylor,customer0142@example.com,25/7/2024,Imported customer master,Sarah,yes
C0143,Ivy Taylor,customer0143@example.com,14/1/2026,Imported customer master,Sarah,yes
C0144,Willow Taylor,customer0144@example.com,12/5/2025,Imported customer master,Sarah,yes
C0145,Olivia Chen,customer0145@example.com,28/11/2024,Imported customer master,Sam,yes
C0146,Amelia Chen,customer0146@example.com,4/4/2025,Imported customer master,Sam,yes
C0147,Charlotte Chen,customer0147@example.com,2/5/2025,Imported customer master,Matthew,yes
C0148,Isla Chen,customer0148@example.com,24/8/2024,Imported customer master,Matthew,yes
C0149,Mia Chen,customer0149@example.com,24/11/2025,Imported customer master,Matthew,yes
C0150,Ava Chen,customer0150@example.com,25/4/2025,Imported customer master,Matthew,yes
C0151,Grace Chen,customer0151@example.com,20/5/2024,Imported customer master,Sarah,yes
C0152,Chloe Chen,customer0152@example.com,26/3/2025,Imported customer master,Sarah,yes
C0153,Zoe Chen,customer0153@example.com,4/3/2025,Imported customer master,Sarah,yes
C0154,Lily Chen,customer0154@example.com,8/1/2025,Imported customer master,Matthew,yes
C0155,Emily Chen,customer0155@example.com,2/9/2025,Imported customer master,Sarah,yes
C0156,Sophie Chen,customer0156@example.com,18/10/2025,Imported customer master,Matthew,yes
C0157,Ella Chen,customer0157@example.com,11/5/2025,Imported customer master,Matthew,yes
C0158,Ruby Chen,customer0158@example.com,6/9/2024,Imported customer master,Sarah,yes
C0159,Lucy Chen,customer0159@example.com,7/6/2024,Imported customer master,Sarah,yes
C0160,Jessica Chen,customer0160@example.com,12/5/2024,Imported customer master,Matthew,yes
C0161,Emma Chen,customer0161@example.com,10/5/2025,Imported customer master,Matthew,yes
C0162,Hannah Chen,customer0162@example.com,4/2/2025,Imported customer master,Sam,yes
C0163,Sienna Chen,customer0163@example.com,22/1/2025,Imported customer master,Sarah,yes
C0164,Sofia Chen,customer0164@example.com,29/8/2024,Imported customer master,Sam,yes
C0165,Noah Chen,customer0165@example.com,25/12/2024,Imported customer master,Matthew,yes
C0166,Oliver Chen,customer0166@example.com,17/5/2025,Imported customer master,Sarah,yes
C0167,Jack Chen,customer0167@example.com,27/8/2024,Imported customer master,Matthew,yes
C0168,Henry Chen,customer0168@example.com,16/8/2024,Imported customer master,Sam,yes
C0169,Leo Chen,customer0169@example.com,14/9/2025,Imported customer master,Matthew,yes
C0170,Liam Chen,customer0170@example.com,2/11/2025,Imported customer master,Sarah,yes
C0171,Lucas Chen,customer0171@example.com,26/9/2024,Imported customer master,Sarah,yes
C0172,William Chen,customer0172@example.com,16/4/2025,Imported customer master,Sam,yes
C0173,James Chen,customer0173@example.com,7/12/2025,Imported customer master,Sam,yes
C0174,Ethan Chen,customer0174@example.com,6/11/2025,Imported customer master,Matthew,yes
C0175,Aria Chen,customer0175@example.com,6/5/2025,Imported customer master,Matthew,yes
C0176,Layla Chen,customer0176@example.com,28/5/2024,Imported customer master,Matthew,yes
C0177,Harper Chen,customer0177@example.com,17/10/2025,Imported customer master,Sarah,yes
C0178,Alice Chen,customer0178@example.com,30/5/2024,Imported customer master,Sarah,yes
C0179,Ivy Chen,customer0179@example.com,5/7/2024,Imported customer master,Sam,yes
C0180,Willow Chen,customer0180@example.com,28/4/2025,Imported customer master,Sam,yes
C0181,Olivia Singh,customer0181@example.com,20/3/2026,Appointment history,Matthew,yes
C0182,Amelia Singh,customer0182@example.com,16/3/2026,Appointment history,Sam,yes
C0183,Charlotte Singh,customer0183@example.com,18/3/2026,Appointment history,Sam,yes
C0184,Isla Singh,customer0184@example.com,17/3/2026,Appointment history,Sarah,yes
C0185,Mia Singh,customer0185@example.com,18/3/2026,Appointment history,Matthew,yes
C0186,Ava Singh,customer0186@example.com,18/3/2026,Appointment history,Matthew,yes
C0187,Grace Singh,customer0187@example.com,16/3/2026,Appointment history,Sam,yes
C0188,Chloe Singh,customer0188@example.com,18/3/2026,Appointment history,Sam,yes
C0189,Zoe Singh,customer0189@example.com,20/3/2026,Appointment history,Matthew,yes
C0190,Lily Singh,customer0190@example.com,20/3/2026,Appointment history,Matthew,yes
C0191,Emily Singh,customer0191@example.com,20/3/2026,Appointment history,Sam,yes
C0192,Sophie Singh,customer0192@example.com,18/3/2026,Appointment history,Sam,yes
C0193,Ella Singh,customer0193@example.com,16/3/2026,Appointment history,Matthew,yes
C0194,Ruby Singh,customer0194@example.com,18/3/2026,Appointment history,Sam,yes
C0195,Lucy Singh,customer0195@example.com,18/3/2026,Appointment history,Matthew,yes
C0196,Jessica Singh,customer0196@example.com,17/3/2026,Appointment history,Matthew,yes
C0197,Emma Singh,customer0197@example.com,16/3/2026,Appointment history,Sam,yes
C0198,Hannah Singh,customer0198@example.com,17/3/2026,Appointment history,Sam,yes
C0199,Sienna Singh,customer0199@example.com,17/3/2026,Appointment history,Sarah,yes
C0200,Sofia Singh,customer0200@example.com,17/3/2026,Appointment history,Sarah,yes
C0201,Noah Singh,customer0201@example.com,24/3/2026,Appointment history,Matthew,yes
C0202,Oliver Singh,customer0202@example.com,23/3/2026,Appointment history,Matthew,yes
C0203,Jack Singh,customer0203@example.com,23/3/2026,Appointment history,Sarah,yes
C0204,Henry Singh,customer0204@example.com,24/3/2026,Appointment history,Sam,yes
C0205,Leo Singh,customer0205@example.com,27/3/2026,Appointment history,Sam,yes
C0206,Liam Singh,customer0206@example.com,25/3/2026,Appointment history,Sam,yes
C0207,Lucas Singh,customer0207@example.com,25/3/2026,Appointment history,Matthew,yes
C0208,William Singh,customer0208@example.com,23/3/2026,Appointment history,Sam,yes
C0209,James Singh,customer0209@example.com,25/3/2026,Appointment history,Sam,yes
C0210,Ethan Singh,customer0210@example.com,27/3/2026,Appointment history,Sam,yes
C0211,Aria Singh,customer0211@example.com,24/3/2026,Appointment history,Matthew,yes
C0212,Layla Singh,customer0212@example.com,25/3/2026,Appointment history,Matthew,yes
C0213,Harper Singh,customer0213@example.com,25/3/2026,Appointment history,Sam,yes
C0214,Alice Singh,customer0214@example.com,23/3/2026,Appointment history,Sam,yes
C0215,Ivy Singh,customer0215@example.com,25/3/2026,Appointment history,Matthew,yes
C0216,Willow Singh,customer0216@example.com,23/3/2026,Appointment history,Sarah,yes
C0217,Olivia Brown,customer0217@example.com,27/3/2026,Appointment history,Sarah,yes
C0218,Amelia Brown,customer0218@example.com,24/3/2026,Appointment history,Sarah,yes
C0219,Charlotte Brown,customer0219@example.com,23/3/2026,Appointment history,Matthew,yes
C0220,Isla Brown,customer0220@example.com,25/3/2026,Appointment history,Matthew,yes
C0221,Mia Brown,customer0221@example.com,24/3/2026,Appointment history,Matthew,yes
C0222,Ava Brown,customer0222@example.com,1/4/2026,Appointment history,Sam,yes
C0223,Grace Brown,customer0223@example.com,1/4/2026,Appointment history,Matthew,yes
C0224,Chloe Brown,customer0224@example.com,31/3/2026,Appointment history,Sarah,yes
C0225,Zoe Brown,customer0225@example.com,31/3/2026,Appointment history,Sam,yes
C0226,Lily Brown,customer0226@example.com,30/3/2026,Appointment history,Sam,yes
C0227,Emily Brown,customer0227@example.com,31/3/2026,Appointment history,Sarah,yes
C0228,Sophie Brown,customer0228@example.com,1/4/2026,Appointment history,Matthew,yes
C0229,Ella Brown,customer0229@example.com,1/4/2026,Appointment history,Sam,yes
C0230,Ruby Brown,customer0230@example.com,1/4/2026,Appointment history,Matthew,yes
C0231,Lucy Brown,customer0231@example.com,31/3/2026,Appointment history,Sarah,yes
C0232,Jessica Brown,customer0232@example.com,1/4/2026,Appointment history,Matthew,yes
C0233,Emma Brown,customer0233@example.com,31/3/2026,Appointment history,Sam,yes
C0234,Hannah Brown,customer0234@example.com,31/3/2026,Appointment history,Matthew,yes
C0235,Sienna Brown,customer0235@example.com,1/4/2026,Appointment history,Matthew,yes
C0236,Sofia Brown,customer0236@example.com,1/4/2026,Appointment history,Sam,yes
C0237,Noah Brown,customer0237@example.com,31/3/2026,Appointment history,Matthew,yes
C0238,Oliver Brown,customer0238@example.com,31/3/2026,Appointment history,Sarah,yes
C0239,Jack Brown,customer0239@example.com,1/4/2026,Appointment history,Matthew,yes
C0240,Henry Brown,customer0240@example.com,1/4/2026,Appointment history,Sarah,yes
C0241,Leo Brown,customer0241@example.com,31/3/2026,Appointment history,Matthew,yes
C0242,Liam Brown,customer0242@example.com,7/4/2026,Appointment history,Sam,yes
C0243,Lucas Brown,customer0243@example.com,7/4/2026,Appointment history,Sarah,yes
C0244,William Brown,customer0244@example.com,7/4/2026,Appointment history,Matthew,yes
C0245,James Brown,customer0245@example.com,7/4/2026,Appointment history,Matthew,yes
C0246,Ethan Brown,customer0246@example.com,10/4/2026,Appointment history,Sam,yes
C0247,Aria Brown,customer0247@example.com,10/4/2026,Appointment history,Sam,yes
C0248,Layla Brown,customer0248@example.com,7/4/2026,Appointment history,Sam,yes
C0249,Harper Brown,customer0249@example.com,7/4/2026,Appointment history,Sam,yes
C0250,Alice Brown,customer0250@example.com,6/4/2026,Appointment history,Matthew,yes
C0251,Ivy Brown,customer0251@example.com,7/4/2026,Appointment history,Sarah,yes
C0252,Willow Brown,customer0252@example.com,8/4/2026,Appointment history,Sarah,yes
C0253,Olivia Williams,customer0253@example.com,10/4/2026,Appointment history,Sam,yes
C0254,Amelia Williams,customer0254@example.com,7/4/2026,Appointment history,Sam,yes
C0255,Charlotte Williams,customer0255@example.com,7/4/2026,Appointment history,Sarah,yes
C0256,Isla Williams,customer0256@example.com,7/4/2026,Appointment history,Matthew,yes
C0257,Mia Williams,customer0257@example.com,10/4/2026,Appointment history,Matthew,yes
C0258,Ava Williams,customer0258@example.com,7/4/2026,Appointment history,Sarah,yes
C0259,Grace Williams,customer0259@example.com,7/4/2026,Appointment history,Matthew,yes
C0260,Chloe Williams,customer0260@example.com,14/4/2026,Appointment history,Matthew,yes
C0261,Zoe Williams,customer0261@example.com,14/4/2026,Appointment history,Sarah,yes
C0262,Lily Williams,customer0262@example.com,17/4/2026,Appointment history,Matthew,yes
C0263,Emily Williams,customer0263@example.com,14/4/2026,Appointment history,Matthew,yes
C0264,Sophie Williams,customer0264@example.com,13/4/2026,Appointment history,Sarah,yes
C0265,Ella Williams,customer0265@example.com,14/4/2026,Appointment history,Sarah,yes
C0266,Ruby Williams,customer0266@example.com,13/4/2026,Appointment history,Sarah,yes
C0267,Lucy Williams,customer0267@example.com,13/4/2026,Appointment history,Sam,yes
C0268,Jessica Williams,customer0268@example.com,14/4/2026,Appointment history,Sarah,yes
C0269,Emma Williams,customer0269@example.com,13/4/2026,Appointment history,Sarah,yes
C0270,Hannah Williams,customer0270@example.com,13/4/2026,Appointment history,Sam,yes
C0271,Sienna Williams,customer0271@example.com,14/4/2026,Appointment history,Sarah,yes
C0272,Sofia Williams,customer0272@example.com,14/4/2026,Appointment history,Sam,yes
C0273,Noah Williams,customer0273@example.com,15/4/2026,Appointment history,Sam,yes
C0274,Oliver Williams,customer0274@example.com,14/4/2026,Appointment history,Sam,yes
C0275,Jack Williams,customer0275@example.com,13/4/2026,Appointment history,Sarah,yes
C0276,Henry Williams,customer0276@example.com,17/4/2026,Appointment history,Matthew,yes
C0277,Leo Williams,customer0277@example.com,14/4/2026,Appointment history,Sarah,yes
C0278,Liam Williams,customer0278@example.com,15/4/2026,Appointment history,Sarah,yes
C0279,Lucas Williams,customer0279@example.com,14/4/2026,Appointment history,Matthew,yes
C0280,William Williams,customer0280@example.com,15/4/2026,Appointment history,Sam,yes
C0281,James Williams,customer0281@example.com,21/4/2026,Appointment history,Matthew,yes
C0282,Ethan Williams,customer0282@example.com,22/4/2026,Appointment history,Matthew,yes
C0283,Aria Williams,customer0283@example.com,24/4/2026,Appointment history,Sarah,yes
C0284,Layla Williams,customer0284@example.com,21/4/2026,Appointment history,Matthew,yes
C0285,Harper Williams,customer0285@example.com,21/4/2026,Appointment history,Sam,yes
C0286,Alice Williams,customer0286@example.com,20/4/2026,Appointment history,Matthew,yes
C0287,Ivy Williams,customer0287@example.com,21/4/2026,Appointment history,Matthew,yes
C0288,Willow Williams,customer0288@example.com,21/4/2026,Appointment history,Matthew,yes
C0289,Olivia Lee,customer0289@example.com,20/4/2026,Appointment history,Sarah,yes
C0290,Amelia Lee,customer0290@example.com,20/4/2026,Appointment history,Sarah,yes
C0291,Charlotte Lee,customer0291@example.com,21/4/2026,Appointment history,Sarah,yes
C0292,Isla Lee,customer0292@example.com,21/4/2026,Appointment history,Matthew,yes
C0293,Mia Lee,customer0293@example.com,24/4/2026,Appointment history,Sam,yes
C0294,Ava Lee,customer0294@example.com,22/4/2026,Appointment history,Sam,yes
C0295,Grace Lee,customer0295@example.com,21/4/2026,Appointment history,Sarah,yes
C0296,Chloe Lee,customer0296@example.com,21/4/2026,Appointment history,Sarah,yes
C0297,Zoe Lee,customer0297@example.com,24/4/2026,Appointment history,Matthew,yes
C0298,Lily Lee,customer0298@example.com,21/4/2026,Appointment history,Sam,yes
C0299,Emily Lee,customer0299@example.com,22/4/2026,Appointment history,Matthew,yes
C0300,Sophie Lee,customer0300@example.com,22/4/2026,Appointment history,Sam,yes
C0301,Ella Lee,customer0301@example.com,27/4/2026,Appointment history,Matthew,yes
C0302,Ruby Lee,customer0302@example.com,27/4/2026,Appointment history,Sam,yes
C0303,Lucy Lee,customer0303@example.com,29/4/2026,Appointment history,Sarah,yes
C0304,Jessica Lee,customer0304@example.com,29/4/2026,Appointment history,Matthew,yes
C0305,Emma Lee,customer0305@example.com,1/5/2026,Appointment history,Sam,yes
C0306,Hannah Lee,customer0306@example.com,29/4/2026,Appointment history,Sarah,yes
C0307,Sienna Lee,customer0307@example.com,28/4/2026,Appointment history,Sarah,yes
C0308,Sofia Lee,customer0308@example.com,29/4/2026,Appointment history,Sam,yes
C0309,Noah Lee,customer0309@example.com,29/4/2026,Appointment history,Sarah,yes
C0310,Oliver Lee,customer0310@example.com,29/4/2026,Appointment history,Sarah,yes
C0311,Jack Lee,customer0311@example.com,29/4/2026,Appointment history,Sam,yes
C0312,Henry Lee,customer0312@example.com,28/4/2026,Appointment history,Sam,yes
C0313,Leo Lee,customer0313@example.com,27/4/2026,Appointment history,Matthew,yes
C0314,Liam Lee,customer0314@example.com,29/4/2026,Appointment history,Sam,yes
C0315,Lucas Lee,customer0315@example.com,27/4/2026,Appointment history,Sarah,yes
C0316,William Lee,customer0316@example.com,29/4/2026,Appointment history,Sam,yes
C0317,James Lee,customer0317@example.com,1/5/2026,Appointment history,Matthew,yes
C0318,Ethan Lee,customer0318@example.com,29/4/2026,Appointment history,Sarah,yes
C0319,Aria Lee,customer0319@example.com,1/5/2026,Appointment history,Sarah,yes
C0320,Layla Lee,customer0320@example.com,29/4/2026,Appointment history,Sarah,yes
C0321,Harper Lee,customer0321@example.com,29/4/2026,Appointment history,Matthew,yes
C0322,Alice Lee,customer0322@example.com,1/5/2026,Appointment history,Matthew,yes
C0323,Ivy Lee,customer0323@example.com,5/5/2026,Appointment history,Matthew,yes
C0324,Willow Lee,customer0324@example.com,4/5/2026,Appointment history,Matthew,yes
C0325,Olivia Patel,customer0325@example.com,4/5/2026,Appointment history,Sam,yes
C0326,Amelia Patel,customer0326@example.com,5/5/2026,Appointment history,Sam,yes
C0327,Charlotte Patel,customer0327@example.com,6/5/2026,Appointment history,Sam,yes
C0328,Isla Patel,customer0328@example.com,5/5/2026,Appointment history,Sarah,yes
C0329,Mia Patel,customer0329@example.com,5/5/2026,Appointment history,Sarah,yes
C0330,Ava Patel,customer0330@example.com,5/5/2026,Appointment history,Matthew,yes
C0331,Grace Patel,customer0331@example.com,6/5/2026,Appointment history,Sam,yes
