capacity_id,staff_name,work_date,week_start,shift_start,shift_end,bookable_hours
CP0068,Matthew,15/4/2026,13/4/2026,2026-04-15T09:00:00,2026-04-15T17:00:00,8
CP0069,Matthew,16/4/2026,13/4/2026,2026-04-16T09:00:00,2026-04-16T17:00:00,8
CP0070,Matthew,17/4/2026,13/4/2026,2026-04-17T09:00:00,2026-04-17T15:00:00,6
CP0071,Sam,13/4/2026,13/4/2026,2026-04-13T09:00:00,2026-04-13T17:00:00,8
CP0072,Sam,14/4/2026,13/4/2026,2026-04-14T09:00:00,2026-04-14T17:00:00,8
CP0073,Sam,15/4/2026,13/4/2026,2026-04-15T09:00:00,2026-04-15T17:00:00,8
CP0074,Sam,16/4/2026,13/4/2026,2026-04-16T09:00:00,2026-04-16T17:00:00,8
CP0075,Sam,17/4/2026,13/4/2026,2026-04-17T09:00:00,2026-04-17T15:00:00,6
CP0076,Sarah,20/4/2026,20/4/2026,2026-04-20T09:00:00,2026-04-20T17:00:00,8
CP0077,Sarah,21/4/2026,20/4/2026,2026-04-21T09:00:00,2026-04-21T17:00:00,8
CP0078,Sarah,22/4/2026,20/4/2026,2026-04-22T09:00:00,2026-04-22T17:00:00,8
CP0079,Sarah,23/4/2026,20/4/2026,2026-04-23T09:00:00,2026-04-23T17:00:00,8
CP0080,Sarah,24/4/2026,20/4/2026,2026-04-24T09:00:00,2026-04-24T15:00:00,6
CP0081,Matthew,20/4/2026,20/4/2026,2026-04-20T09:00:00,2026-04-20T17:00:00,8
CP0082,Matthew,21/4/2026,20/4/2026,2026-04-21T09:00:00,2026-04-21T17:00:00,8
CP0083,Matthew,22/4/2026,20/4/2026,2026-04-22T09:00:00,2026-04-22T17:00:00,8
CP0084,Matthew,23/4/2026,20/4/2026,2026-04-23T09:00:00,2026-04-23T17:00:00,8
CP0085,Matthew,24/4/2026,20/4/2026,2026-04-24T09:00:00,2026-04-24T15:00:00,6
CP0086,Sam,20/4/2026,20/4/2026,2026-04-20T09:00:00,2026-04-20T17:00:00,8
CP0087,Sam,21/4/2026,20/4/2026,2026-04-21T09:00:00,2026-04-21T17:00:00,8
CP0088,Sam,22/4/2026,20/4/2026,2026-04-22T09:00:00,2026-04-22T17:00:00,8
CP0089,Sam,23/4/2026,20/4/2026,2026-04-23T09:00:00,2026-04-23T17:00:00,8
CP0090,Sam,24/4/2026,20/4/2026,2026-04-24T09:00:00,2026-04-24T15:00:00,6
CP0091,Sarah,27/4/2026,27/4/2026,2026-04-27T09:00:00,2026-04-27T17:00:00,8
CP0092,Sarah,28/4/2026,27/4/2026,2026-04-28T09:00:00,2026-04-28T17:00:00,8
CP0093,Sarah,29/4/2026,27/4/2026,2026-04-29T09:00:00,2026-04-29T17:00:00,8
CP0094,Sarah,30/4/2026,27/4/2026,2026-04-30T09:00:00,2026-04-30T17:00:00,8
CP0095,Sarah,1/5/2026,27/4/2026,2026-05-01T09:00:00,2026-05-01T15:00:00,6
CP0096,Matthew,27/4/2026,27/4/2026,2026-04-27T09:00:00,2026-04-27T17:00:00,8
CP0097,Matthew,28/4/2026,27/4/2026,2026-04-28T09:00:00,2026-04-28T17:00:00,8
CP0098,Matthew,29/4/2026,27/4/2026,2026-04-29T09:00:00,2026-04-29T17:00:00,8
CP0099,Matthew,30/4/2026,27/4/2026,2026-04-30T09:00:00,2026-04-30T17:00:00,8
CP0100,Matthew,1/5/2026,27/4/2026,2026-05-01T09:00:00,2026-05-01T15:00:00,6
CP0101,Sam,27/4/2026,27/4/2026,2026-04-27T09:00:00,2026-04-27T17:00:00,8
CP0102,Sam,28/4/2026,27/4/2026,2026-04-28T09:00:00,2026-04-28T17:00:00,8
CP0103,Sam,29/4/2026,27/4/2026,2026-04-29T09:00:00,2026-04-29T17:00:00,8
CP0104,Sam,30/4/2026,27/4/2026,2026-04-30T09:00:00,2026-04-30T17:00:00,8
CP0105,Sam,1/5/2026,27/4/2026,2026-05-01T09:00:00,2026-05-01T15:00:00,6
CP0106,Sarah,4/5/2026,4/5/2026,2026-05-04T09:00:00,2026-05-04T17:00:00,8
CP0107,Sarah,5/5/2026,4/5/2026,2026-05-05T09:00:00,2026-05-05T17:00:00,8
CP0108,Sarah,6/5/2026,4/5/2026,2026-05-06T09:00:00,2026-05-06T17:00:00,8
CP0109,Sarah,7/5/2026,4/5/2026,2026-05-07T09:00:00,2026-05-07T17:00:00,8
CP0110,Sarah,8/5/2026,4/5/2026,2026-05-08T09:00:00,2026-05-08T15:00:00,6
CP0111,Matthew,4/5/2026,4/5/2026,2026-05-04T09:00:00,2026-05-04T17:00:00,8
CP0112,Matthew,5/5/2026,4/5/2026,2026-05-05T09:00:00,2026-05-05T17:00:00,8
CP0113,Matthew,6/5/2026,4/5/2026,2026-05-06T09:00:00,2026-05-06T17:00:00,8
CP0114,Matthew,7/5/2026,4/5/2026,2026-05-07T09:00:00,2026-05-07T17:00:00,8
CP0115,Matthew,8/5/2026,4/5/2026,2026-05-08T09:00:00,2026-05-08T15:00:00,6
CP0116,Sam,4/5/2026,4/5/2026,2026-05-04T09:00:00,2026-05-04T17:00:00,8
CP0117,Sam,5/5/2026,4/5/2026,2026-05-05T09:00:00,2026-05-05T17:00:00,8
CP0118,Sam,6/5/2026,4/5/2026,2026-05-06T09:00:00,2026-05-06T17:00:00,8
CP0119,Sam,7/5/2026,4/5/2026,2026-05-07T09:00:00,2026-05-07T17:00:00,8
CP0120,Sam,8/5/2026,4/5/2026,2026-05-08T09:00:00,2026-05-08T15:00:00,6
CP0121,Sarah,11/5/2026,11/5/2026,2026-05-11T09:00:00,2026-05-11T17:00:00,8
CP0122,Sarah,12/5/2026,11/5/2026,2026-05-12T09:00:00,2026-05-12T17:00:00,8
CP0123,Sarah,13/5/2026,11/5/2026,2026-05-13T09:00:00,2026-05-13T17:00:00,8
CP0124,Sarah,14/5/2026,11/5/2026,2026-05-14T09:00:00,2026-05-14T17:00:00,8
CP0125,Sarah,15/5/2026,11/5/2026,2026-05-15T09:00:00,2026-05-15T15:00:00,6
CP0126,Matthew,11/5/2026,11/5/2026,2026-05-11T09:00:00,2026-05-11T17:00:00,8
CP0127,Matthew,12/5/2026,11/5/2026,2026-05-12T09:00:00,2026-05-12T17:00:00,8
CP0128,Matthew,13/5/2026,11/5/2026,2026-05-13T09:00:00,2026-05-13T17:00:00,8
CP0129,Matthew,14/5/2026,11/5/2026,2026-05-14T09:00:00,2026-05-14T17:00:00,8
CP0130,Matthew,15/5/2026,11/5/2026,2026-05-15T09:00:00,2026-05-15T15:00:00,6
CP0131,Sam,11/5/2026,11/5/2026,2026-05-11T09:00:00,2026-05-11T17:00:00,8
CP0132,Sam,12/5/2026,11/5/2026,2026-05-12T09:00:00,2026-05-12T17:00:00,8
CP0133,Sam,13/5/2026,11/5/2026,2026-05-13T09:00:00,2026-05-13T17:00:00,8
CP0134,Sam,14/5/2026,11/5/2026,2026-05-14T09:00:00,2026-05-14T17:00:00,8
CP0135,Sam,15/5/2026,11/5/2026,2026-05-15T09:00:00,2026-05-15T15:00:00,6
CP0136,Sarah,18/5/2026,18/5/2026,2026-05-18T09:00:00,2026-05-18T17:00:00,8
CP0137,Sarah,19/5/2026,18/5/2026,2026-05-19T09:00:00,2026-05-19T17:00:00,8
CP0138,Sarah,20/5/2026,18/5/2026,2026-05-20T09:00:00,2026-05-20T17:00:00,8
CP0139,Sarah,21/5/2026,18/5/2026,2026-05-21T09:00:00,2026-05-21T17:00:00,8
CP0140,Sarah,22/5/2026,18/5/2026,2026-05-22T09:00:00,2026-05-22T15:00:00,6
CP0141,Matthew,18/5/2026,18/5/2026,2026-05-18T09:00:00,2026-05-18T17:00:00,8
CP0142,Matthew,19/5/2026,18/5/2026,2026-05-19T09:00:00,2026-05-19T17:00:00,8
CP0143,Matthew,20/5/2026,18/5/2026,2026-05-20T09:00:00,2026-05-20T17:00:00,8
CP0144,Matthew,21/5/2026,18/5/2026,2026-05-21T09:00:00,2026-05-21T17:00:00,8
CP0145,Matthew,22/5/2026,18/5/2026,2026-05-22T09:00:00,2026-05-22T15:00:00,6
CP0146,Sam,18/5/2026,18/5/2026,2026-05-18T09:00:00,2026-05-18T17:00:00,8
CP0147,Sam,19/5/2026,18/5/2026,2026-05-19T09:00:00,2026-05-19T17:00:00,8
CP0148,Sam,20/5/2026,18/5/2026,2026-05-20T09:00:00,2026-05-20T17:00:00,8
CP0149,Sam,21/5/2026,18/5/2026,2026-05-21T09:00:00,2026-05-21T17:00:00,8
CP0150,Sam,22/5/2026,18/5/2026,2026-05-22T09:00:00,2026-05-22T15:00:00,6
CP0151,Sarah,25/5/2026,25/5/2026,2026-05-25T09:00:00,2026-05-25T17:00:00,8
CP0152,Sarah,26/5/2026,25/5/2026,2026-05-26T09:00:00,2026-05-26T17:00:00,8
CP0153,Sarah,27/5/2026,25/5/2026,2026-05-27T09:00:00,2026-05-27T17:00:00,8
CP0154,Sarah,28/5/2026,25/5/2026,2026-05-28T09:00:00,2026-05-28T17:00:00,8
CP0155,Sarah,29/5/2026,25/5/2026,2026-05-29T09:00:00,2026-05-29T15:00:00,6
CP0156,Matthew,25/5/2026,25/5/2026,2026-05-25T09:00:00,2026-05-25T17:00:00,8
CP0157,Matthew,26/5/2026,25/5/2026,2026-05-26T09:00:00,2026-05-26T17:00:00,8
CP0158,Matthew,27/5/2026,25/5/2026,2026-05-27T09:00:00,2026-05-27T17:00:00,8
CP0159,Matthew,28/5/2026,25/5/2026,2026-05-28T09:00:00,2026-05-28T17:00:00,8
CP0160,Matthew,29/5/2026,25/5/2026,2026-05-29T09:00:00,2026-05-29T15:00:00,6
CP0161,Sam,25/5/2026,25/5/2026,2026-05-25T09:00:00,2026-05-25T17:00:00,8
CP0162,Sam,26/5/2026,25/5/2026,2026-05-26T09:00:00,2026-05-26T17:00:00,8
CP0163,Sam,27/5/2026,25/5/2026,2026-05-27T09:00:00,2026-05-27T17:00:00,8
CP0164,Sam,28/5/2026,25/5/2026,2026-05-28T09:00:00,2026-05-28T17:00:00,8
CP0165,Sam,29/5/2026,25/5/2026,2026-05-29T09:00:00,2026-05-29T15:00:00,6
CP0166,Sarah,1/6/2026,1/6/2026,2026-06-01T09:00:00,2026-06-01T17:00:00,8
CP0167,Sarah,2/6/2026,1/6/2026,2026-06-02T09:00:00,2026-06-02T17:00:00,8
CP0168,Sarah,3/6/2026,1/6/2026,2026-06-03T09:00:00,2026-06-03T17:00:00,8
CP0169,Sarah,4/6/2026,1/6/2026,2026-06-04T09:00:00,2026-06-04T17:00:00,8
CP0170,Sarah,5/6/2026,1/6/2026,2026-06-05T09:00:00,2026-06-05T15:00:00,6
CP0171,Matthew,1/6/2026,1/6/2026,2026-06-01T09:00:00,2026-06-01T17:00:00,8
CP0172,Matthew,2/6/2026,1/6/2026,2026-06-02T09:00:00,2026-06-02T17:00:00,8
CP0173,Matthew,3/6/2026,1/6/2026,2026-06-03T09:00:00,2026-06-03T17:00:00,8
CP0174,Matthew,4/6/2026,1/6/2026,2026-06-04T09:00:00,2026-06-04T17:00:00,8
CP0175,Matthew,5/6/2026,1/6/2026,2026-06-05T09:00:00,2026-06-05T15:00:00,6
CP0176,Sam,1/6/2026,1/6/2026,2026-06-01T09:00:00,2026-06-01T17:00:00,8
CP0177,Sam,2/6/2026,1/6/2026,2026-06-02T09:00:00,2026-06-02T17:00:00,8
CP0178,Sam,3/6/2026,1/6/2026,2026-06-03T09:00:00,2026-06-03T17:00:00,8
CP0179,Sam,4/6/2026,1/6/2026,2026-06-04T09:00:00,2026-06-04T17:00:00,8
CP0180,Sam,5/6/2026,1/6/2026,2026-06-05T09:00:00,2026-06-05T15:00:00,6
CP0181,Sarah,8/6/2026,8/6/2026,2026-06-08T09:00:00,2026-06-08T17:00:00,8
CP0182,Sarah,9/6/2026,8/6/2026,2026-06-09T09:00:00,2026-06-09T17:00:00,8
CP0183,Sarah,10/6/2026,8/6/2026,2026-06-10T09:00:00,2026-06-10T17:00:00,8
CP0184,Sarah,11/6/2026,8/6/2026,2026-06-11T09:00:00,2026-06-11T17:00:00,8
CP0185,Sarah,12/6/2026,8/6/2026,2026-06-12T09:00:00,2026-06-12T15:00:00,6
CP0186,Matthew,8/6/2026,8/6/2026,2026-06-08T09:00:00,2026-06-08T17:00:00,8
CP0187,Matthew,9/6/2026,8/6/2026,2026-06-09T09:00:00,2026-06-09T17:00:00,8
CP0188,Matthew,10/6/2026,8/6/2026,2026-06-10T09:00:00,2026-06-10T17:00:00,8
CP0189,Matthew,11/6/2026,8/6/2026,2026-06-11T09:00:00,2026-06-11T17:00:00,8
CP0190,Matthew,12/6/2026,8/6/2026,2026-06-12T09:00:00,2026-06-12T15:00:00,6
CP0191,Sam,8/6/2026,8/6/2026,2026-06-08T09:00:00,2026-06-08T17:00:00,8
CP0192,Sam,9/6/2026,8/6/2026,2026-06-09T09:00:00,2026-06-09T17:00:00,8
CP0193,Sam,10/6/2026,8/6/2026,2026-06-10T09:00:00,2026-06-10T17:00:00,8
CP0194,Sam,11/6/2026,8/6/2026,2026-06-11T09:00:00,2026-06-11T17:00:00,8
CP0195,Sam,12/6/2026,8/6/2026,2026-06-12T09:00:00,2026-06-12T15:00:00,6
CP0196,Sarah,15/6/2026,15/6/2026,2026-06-15T09:00:00,2026-06-15T17:00:00,8
CP0197,Sarah,16/6/2026,15/6/2026,2026-06-16T09:00:00,2026-06-16T17:00:00,8
CP0198,Sarah,17/6/2026,15/6/2026,2026-06-17T09:00:00,2026-06-17T17:00:00,8
CP0199,Sarah,18/6/2026,15/6/2026,2026-06-18T09:00:00,2026-06-18T17:00:00,8
CP0200,Sarah,19/6/2026,15/6/2026,2026-06-19T09:00:00,2026-06-19T15:00:00,6
CP0201,Matthew,15/6/2026,15/6/2026,2026-06-15T09:00:00,2026-06-15T17:00:00,8
CP0202,Matthew,16/6/2026,15/6/2026,2026-06-16T09:00:00,2026-06-16T17:00:00,8
CP0203,Matthew,17/6/2026,15/6/2026,2026-06-17T09:00:00,2026-06-17T17:00:00,8
CP0204,Matthew,18/6/2026,15/6/2026,2026-06-18T09:00:00,2026-06-18T17:00:00,8
CP0205,Matthew,19/6/2026,15/6/2026,2026-06-19T09:00:00,2026-06-19T15:00:00,6
CP0206,Sam,15/6/2026,15/6/2026,2026-06-15T09:00:00,2026-06-15T17:00:00,8
CP0207,Sam,16/6/2026,15/6/2026,2026-06-16T09:00:00,2026-06-16T17:00:00,8
CP0208,Sam,17/6/2026,15/6/2026,2026-06-17T09:00:00,2026-06-17T17:00:00,8
CP0209,Sam,18/6/2026,15/6/2026,2026-06-18T09:00:00,2026-06-18T17:00:00,8
CP0210,Sam,19/6/2026,15/6/2026,2026-06-19T09:00:00,2026-06-19T15:00:00,6
CP0211,Sarah,22/6/2026,22/6/2026,2026-06-22T09:00:00,2026-06-22T17:00:00,8
CP0212,Sarah,23/6/2026,22/6/2026,2026-06-23T09:00:00,2026-06-23T17:00:00,8
CP0213,Sarah,24/6/2026,22/6/2026,2026-06-24T09:00:00,2026-06-24T17:00:00,8
CP0214,Sarah,25/6/2026,22/6/2026,2026-06-25T09:00:00,2026-06-25T17:00:00,8
CP0215,Sarah,26/6/2026,22/6/2026,2026-06-26T09:00:00,2026-06-26T15:00:00,6
CP0216,Matthew,22/6/2026,22/6/2026,2026-06-22T09:00:00,2026-06-22T17:00:00,8
CP0217,Matthew,23/6/2026,22/6/2026,2026-06-23T09:00:00,2026-06-23T17:00:00,8
CP0218,Matthew,24/6/2026,22/6/2026,2026-06-24T09:00:00,2026-06-24T17:00:00,8
CP0219,Matthew,25/6/2026,22/6/2026,2026-06-25T09:00:00,2026-06-25T17:00:00,8
CP0220,Matthew,26/6/2026,22/6/2026,2026-06-26T09:00:00,2026-06-26T15:00:00,6
CP0221,Sam,22/6/2026,22/6/2026,2026-06-22T09:00:00,2026-06-22T17:00:00,8
CP0222,Sam,23/6/2026,22/6/2026,2026-06-23T09:00:00,2026-06-23T17:00:00,8
CP0223,Sam,24/6/2026,22/6/2026,2026-06-24T09:00:00,2026-06-24T17:00:00,8
CP0224,Sam,25/6/2026,22/6/2026,2026-06-25T09:00:00,2026-06-25T17:00:00,8
CP0225,Sam,26/6/2026,22/6/2026,2026-06-26T09:00:00,2026-06-26T15:00:00,6
CP0226,Sarah,29/6/2026,29/6/2026,2026-06-29T09:00:00,2026-06-29T17:00:00,8
CP0227,Sarah,30/6/2026,29/6/2026,2026-06-30T09:00:00,2026-06-30T17:00:00,8
CP0228,Sarah,1/7/2026,29/6/2026,2026-07-01T09:00:00,2026-07-01T17:00:00,8
CP0229,Sarah,2/7/2026,29/6/2026,2026-07-02T09:00:00,2026-07-02T17:00:00,8
CP0230,Sarah,3/7/2026,29/6/2026,2026-07-03T09:00:00,2026-07-03T15:00:00,6
CP0231,Matthew,29/6/2026,29/6/2026,2026-06-29T09:00:00,2026-06-29T17:00:00,8
CP0232,Matthew,30/6/2026,29/6/2026,2026-06-30T09:00:00,2026-06-30T17:00:00,8
CP0233,Matthew,1/7/2026,29/6/2026,2026-07-01T09:00:00,2026-07-01T17:00:00,8
CP0234,Matthew,2/7/2026,29/6/2026,2026-07-02T09:00:00,2026-07-02T17:00:00,8
CP0235,Matthew,3/7/2026,29/6/2026,2026-07-03T09:00:00,2026-07-03T15:00:00,6
CP0236,Sam,29/6/2026,29/6/2026,2026-06-29T09:00:00,2026-06-29T17:00:00,8
CP0237,Sam,30/6/2026,29/6/2026,2026-06-30T09:00:00,2026-06-30T17:00:00,8
CP0238,Sam,1/7/2026,29/6/2026,2026-07-01T09:00:00,2026-07-01T17:00:00,8
CP0239,Sam,2/7/2026,29/6/2026,2026-07-02T09:00:00,2026-07-02T17:00:00,8
CP0240,Sam,3/7/2026,29/6/2026,2026-07-03T09:00:00,2026-07-03T15:00:00,6
CP0241,Sarah,6/7/2026,6/7/2026,2026-07-06T09:00:00,2026-07-06T17:00:00,8
CP0242,Sarah,7/7/2026,6/7/2026,2026-07-07T09:00:00,2026-07-07T17:00:00,8
CP0243,Sarah,8/7/2026,6/7/2026,2026-07-08T09:00:00,2026-07-08T17:00:00,8
CP0244,Sarah,9/7/2026,6/7/2026,2026-07-09T09:00:00,2026-07-09T17:00:00,8
CP0245,Sarah,10/7/2026,6/7/2026,2026-07-10T09:00:00,2026-07-10T15:00:00,6
CP0246,Matthew,6/7/2026,6/7/2026,2026-07-06T09:00:00,2026-07-06T17:00:00,8
CP0247,Matthew,7/7/2026,6/7/2026,2026-07-07T09:00:00,2026-07-07T17:00:00,8
CP0248,Matthew,8/7/2026,6/7/2026,2026-07-08T09:00:00,2026-07-08T17:00:00,8
CP0249,Matthew,9/7/2026,6/7/2026,2026-07-09T09:00:00,2026-07-09T17:00:00,8
CP0250,Matthew,10/7/2026,6/7/2026,2026-07-10T09:00:00,2026-07-10T15:00:00,6
CP0251,Sam,6/7/2026,6/7/2026,2026-07-06T09:00:00,2026-07-06T17:00:00,8
CP0252,Sam,7/7/2026,6/7/2026,2026-07-07T09:00:00,2026-07-07T17:00:00,8
CP0253,Sam,8/7/2026,6/7/2026,2026-07-08T09:00:00,2026-07-08T17:00:00,8
CP0254,Sam,9/7/2026,6/7/2026,2026-07-09T09:00:00,2026-07-09T17:00:00,8
CP0255,Sam,10/7/2026,6/7/2026,2026-07-10T09:00:00,2026-07-10T15:00:00,6
CP0256,Sarah,13/7/2026,13/7/2026,2026-07-13T09:00:00,2026-07-13T17:00:00,8
CP0257,Sarah,14/7/2026,13/7/2026,2026-07-14T09:00:00,2026-07-14T17:00:00,8
CP0258,Sarah,15/7/2026,13/7/2026,2026-07-15T09:00:00,2026-07-15T17:00:00,8
CP0259,Sarah,16/7/2026,13/7/2026,2026-07-16T09:00:00,2026-07-16T17:00:00,8
CP0260,Sarah,17/7/2026,13/7/2026,2026-07-17T09:00:00,2026-07-17T15:00:00,6
CP0261,Matthew,13/7/2026,13/7/2026,2026-07-13T09:00:00,2026-07-13T17:00:00,8
CP0262,Matthew,14/7/2026,13/7/2026,2026-07-14T09:00:00,2026-07-14T17:00:00,8
CP0263,Matthew,15/7/2026,13/7/2026,2026-07-15T09:00:00,2026-07-15T17:00:00,8
CP0264,Matthew,16/7/2026,13/7/2026,2026-07-16T09:00:00,2026-07-16T17:00:00,8
CP0265,Matthew,17/7/2026,13/7/2026,2026-07-17T09:00:00,2026-07-17T15:00:00,6
CP0266,Sam,13/7/2026,13/7/2026,2026-07-13T09:00:00,2026-07-13T17:00:00,8
CP0267,Sam,14/7/2026,13/7/2026,2026-07-14T09:00:00,2026-07-14T17:00:00,8
CP0268,Sam,15/7/2026,13/7/2026,2026-07-15T09:00:00,2026-07-15T17:00:00,8
CP0269,Sam,16/7/2026,13/7/2026,2026-07-16T09:00:00,2026-07-16T17:00:00,8
